TYPE;START;END;GUID1;GUID2;PROFILE1;PROFILE2
Full width support 1;{97302.16719, 58546.897875, 38534.99};{97302.16719, 58546.897875, 38799.99};7b0c9e10-7723-4aff-8358-0a816520413a;a31d9910-51e7-4ed8-8dfe-7a415d37ba18;UPB265(265X1200);650*640
No connection;{94708.197754, 60787.96551, 38809.99};{95529.674439, 61304.312884, 38809.99};2f194520-7c85-410d-a8f6-678dddef0c54;61da2f0e-84df-4d44-9393-e3f0648c5bfd;UPB265(265X1200);7380*300
HCS - Wall;{95501.954132, 61286.88863, 38534.99};{95501.954132, 61286.88863, 38799.99};2f194520-7c85-410d-a8f6-678dddef0c54;96e52afc-95b9-4a84-923c-edb646194bdc;UPB265(265X1200);3729.99*300
Full width support 1;{97207.528698, 58661.062127, 38667.49};{96374.290324, 58137.320789, 38667.49};2f194520-7c85-410d-a8f6-678dddef0c54;a31d9910-51e7-4ed8-8dfe-7a415d37ba18;UPB265(265X1200);650*640
HCS - Wall;{95445.538715, 61251.42813, 38667.49};{94708.198395, 60787.964591, 38667.49};2f194520-7c85-410d-a8f6-678dddef0c54;2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;UPB265(265X1200);3729.99*300
Full width support 1;{101228.980722, 58729.920374, 38599.99};{100053.00951, 58490.981657, 38599.99};ea8c030e-abac-4100-80cd-54e67ad30e13;59575b99-dfd7-40c4-8583-811e8e32883a;UPB400(400X1200);650*640
Beam at side of HCS 2;{98971.493189, 58271.477943, 38599.99};{100052.991632, 58491.105752, 38599.99};b4f471b4-f5bf-46d5-a665-ddcf498df807;59575b99-dfd7-40c4-8583-811e8e32883a;UPB400(400X1200);650*640
Full width support 1;{102404.976448, 58968.738438, 38599.99};{101229.005236, 58729.799721, 38599.99};7d986322-33a1-47d1-bda7-aa546f928cd7;59575b99-dfd7-40c4-8583-811e8e32883a;UPB400(400X1200);650*640
Horizontal;{94546.032223, 60815.95955, 38809.99};{95387.000588, 61344.558614, 38809.99};2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;61da2f0e-84df-4d44-9393-e3f0648c5bfd;3729.99*300;7380*300
Normal;{95395.467115, 61349.880002, 35070.0};{95395.467115, 61349.880002, 38799.99};2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;96e52afc-95b9-4a84-923c-edb646194bdc;3729.99*300;3729.99*300
HCS - Wall;{93519.635896, 60300.702073, 38667.49};{93144.130494, 60064.696952, 38667.49};c320bbb3-3b50-49f9-8053-ccdfc5f9fa3c;2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;UPB265(265X1200);3729.99*300
HCS - Wall;{94535.604776, 60939.299759, 38667.49};{93519.608188, 60300.745978, 38667.49};650220c1-86ba-45a3-ac27-3e2ed199a190;2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;UPB265(265X1200);3729.99*300
HCS - Wall;{93358.187547, 59939.401727, 38534.99};{93358.187547, 59939.401727, 38799.99};9b3d585a-95d4-49e9-b22e-1978c48e26b0;2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;UPB265(265X1200);3729.99*300
Normal;{93194.201038, 59966.251562, 35070};{93194.201038, 59966.251562, 38534.99};2a0fa8c0-c24a-4d5f-9a50-4447fc79bc86;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;3729.99*300;3729.99*300
Horizontal;{98530.817128, 59318.148319, 42319.99};{105125.911137, 63464.666383, 42319.99};477beb17-aa3f-49dd-a095-28bb2a5fa504;ff8804ab-313a-4041-92db-1487fa6f1c28;3605*200;3490*200
No connection;{103948.433811, 62724.353812, 38809.99};{105072.296822, 63430.95758, 38809.99};e6512596-504a-4b0d-8a41-c44ff9c1b7f6;ff8804ab-313a-4041-92db-1487fa6f1c28;UPB265(265X1200);3490*200
Other;{105099.237148, 63447.895708, 38819.99};{105099.237148, 63447.895708, 42309.99};875e181e-6b43-422f-b1b4-8f1824d170b4;ff8804ab-313a-4041-92db-1487fa6f1c28;7380*200;3490*200
Horizontal;{105125.909508, 63464.667759, 38809.99};{103136.60002, 62213.921677, 38809.99};938d9535-0275-4057-9f6e-5e8d9e166f5a;ff8804ab-313a-4041-92db-1487fa6f1c28;3729.99*200;3490*200
Horizontal;{105046.009676, 63532.552877, 38809.99};{105152.462946, 63363.237487, 38809.99};2ee24634-3e53-4cad-a85f-4662671482aa;ff8804ab-313a-4041-92db-1487fa6f1c28;3729.99*200;3490*200
Horizontal;{103119.66633, 62203.279779, 38809.99};{100586.279016, 60610.453587, 38809.99};b74f63de-232d-4fa4-9155-8bb852b55a6a;ff8804ab-313a-4041-92db-1487fa6f1c28;3729.99*200;3490*200
Other;{105099.237148, 63447.895708, 42329.99};{105099.237148, 63447.895708, 45934.99};477beb17-aa3f-49dd-a095-28bb2a5fa504;875e181e-6b43-422f-b1b4-8f1824d170b4;3605*200;7380*200
HCS - Wall;{104298.089109, 63014.989331, 45934.995};{103594.719725, 62572.917478, 45934.995};c0f7fe65-28fc-44c2-b126-3108cfdb49d1;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
HCS - Wall;{103594.805585, 62572.780868, 45934.995};{102578.81176, 61934.222689, 45934.995};343338d8-5ab3-4548-a0fc-925094791ae2;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
HCS - Wall;{102578.913232, 61934.06124, 45934.995};{101562.919407, 61295.503061, 45934.995};a4bb4a1e-6414-4580-bc90-e302d17e9af6;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
HCS - Wall;{101563.020879, 61295.341611, 45934.995};{100547.027054, 60656.783432, 45934.995};46a2087d-90ca-410f-bd11-ec0f6d7b4433;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
HCS - Wall;{100547.128526, 60656.621983, 45934.995};{99531.134701, 60018.063805, 45934.995};4f7592f4-685c-4976-a094-352ba2871c3f;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
HCS - Wall;{105094.020413, 63515.406952, 45934.995};{104332.838825, 63036.999784, 45934.995};fb4155dd-8f45-4b14-b8ac-ecd5cadb1c05;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
HCS - Wall;{103948.49845, 62724.394453, 45934.995};{105072.275121, 63430.943936, 45934.995};256cb5b9-837a-4868-9d6e-d6956fa49bbd;477beb17-aa3f-49dd-a095-28bb2a5fa504;UPB265(265X1200);3605*200
Unclassified;{91433.726756, 61269.955174, 51409.95};{91433.726756, 61269.955174, 52109.95};1b1026b0-e653-40a8-bf82-70f0c107112b;59c5f5f8-b127-4a47-8423-7641a061abb4;900*640;700*640
Unclassified;{93266.722459, 57377.382698, 51594.984945};{93823.853322, 57692.351269, 51594.984945};1026a097-6010-49c6-a291-4124b46e9959;59c5f5f8-b127-4a47-8423-7641a061abb4;600*400;700*640
Unclassified;{93518.334131, 57258.995661, 51949.954944};{93215.637313, 57794.419686, 51949.954944};1afd1776-5faa-478b-8f32-0a8b53b344e0;59c5f5f8-b127-4a47-8423-7641a061abb4;700*320;700*640
Unclassified;{82679.565946, 55238.501548, 51139.999963};{82679.565946, 55238.501548, 51779.949895};57578f00-7f13-4479-8fe6-21db3ad03b04;b92679d9-f147-4171-8013-82e12e1ab619;650*400;650*600
Unclassified;{83399.558723, 55028.756024, 51789.980951};{83260.251667, 55714.754234, 51789.980951};a78111ff-cf6e-490f-8491-71592be4578a;b92679d9-f147-4171-8013-82e12e1ab619;700*320;650*600
Unclassified;{94651.862292, 60882.480428, 45799.999298};{94651.862292, 60882.480428, 46199.99};13d74127-81b5-4e25-8361-d2fabb4da628;61da2f0e-84df-4d44-9393-e3f0648c5bfd;400*520;7380*300
Unclassified;{92889.445789, 59396.731527, 45999.999479};{92612.720232, 59836.984824, 45999.999479};13d74127-81b5-4e25-8361-d2fabb4da628;b8aaed91-2ac2-449a-9414-2cc68af79877;400*520;1000*640
Unclassified;{91458.3337, 61226.448161, 45899.997002};{91458.3337, 61226.448161, 46799.997002};b8aaed91-2ac2-449a-9414-2cc68af79877;e6ca1925-911b-4a3c-a7f3-582e73a2d8d6;1000*640;900*640
Unclassified;{91204.561604, 61191.850693, 45839.9985};{91627.891715, 61457.917635, 45839.9985};b8aaed91-2ac2-449a-9414-2cc68af79877;ed4dd3a9-c58b-4833-a845-7774b9aaa7a0;1000*640;500*500
Beam at side of HCS 2;{91648.886778, 61437.530598, 46667.498501};{91855.422407, 61072.19286, 46667.498501};474100a5-4528-4bd7-9601-dab6509689a8;b8aaed91-2ac2-449a-9414-2cc68af79877;UPB265(265X1200);1000*640
Side;{89327.682697, 60111.263868, 38667.49};{90450.685662, 58324.466438, 38667.49};089b203b-1567-45bc-81ea-4d0e63ce62cf;860199ac-0902-4f89-bbe1-e8c4ababdb28;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{90942.87717, 58681.053102, 38534.99};{91445.385548, 58996.909912, 38534.99};860199ac-0902-4f89-bbe1-e8c4ababdb28;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;UPB265(265X1200);3729.99*300
HCS - Wall;{90429.405226, 58358.320573, 38534.99};{90925.937351, 58670.420948, 38534.99};860199ac-0902-4f89-bbe1-e8c4ababdb28;f72fbe07-4790-449a-acac-d6771dcbfba3;UPB265(265X1200);3729.99*300
Side;{90343.679974, 60749.816409, 38667.49};{91466.654537, 58963.064128, 38667.49};860199ac-0902-4f89-bbe1-e8c4ababdb28;bfc2f9ce-2ee4-4614-b4b4-aff57ae0337a;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{90364.96465, 60715.950651, 38667.49};{89593.193256, 60230.891992, 38667.49};860199ac-0902-4f89-bbe1-e8c4ababdb28;84366252-3be3-4508-b04d-80c28a8b6554;UPB265(265X1200);3729.99*250
HCS - Wall;{89576.259662, 60220.250108, 38667.49};{89348.967596, 60077.397436, 38667.49};860199ac-0902-4f89-bbe1-e8c4ababdb28;1aa8303d-078a-4220-85ce-771f22a93a31;UPB265(265X1200);3729.99*250
HCS - Wall;{92461.351789, 59635.506951, 38534.99};{91445.355427, 58996.952809, 38534.99};bfc2f9ce-2ee4-4614-b4b4-aff57ae0337a;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;UPB265(265X1200);3729.99*300
Beam at side of HCS 2;{91281.094926, 61291.740017, 38534.99};{91281.094926, 61291.740017, 38799.99};bfc2f9ce-2ee4-4614-b4b4-aff57ae0337a;ed4dd3a9-c58b-4833-a845-7774b9aaa7a0;UPB265(265X1200);500*500
HCS - Wall;{91164.291945, 61218.326278, 38667.49};{90364.964597, 60715.950415, 38667.49};bfc2f9ce-2ee4-4614-b4b4-aff57ae0337a;84366252-3be3-4508-b04d-80c28a8b6554;UPB265(265X1200);3729.99*250
Side;{92258.254367, 62307.673588, 38667.49};{93540.9074, 60266.857104, 38667.49};650220c1-86ba-45a3-ac27-3e2ed199a190;c320bbb3-3b50-49f9-8053-ccdfc5f9fa3c;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{93127.20695, 60054.048663, 38534.99};{92503.644648, 59662.139795, 38534.99};c320bbb3-3b50-49f9-8053-ccdfc5f9fa3c;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;UPB265(265X1200);3729.99*300
Beam at side of HCS 2;{91535.202796, 61404.205872, 38667.49};{91332.897101, 61726.08762, 38667.49};c320bbb3-3b50-49f9-8053-ccdfc5f9fa3c;ed4dd3a9-c58b-4833-a845-7774b9aaa7a0;UPB265(265X1200);500*500
HCS - Wall;{92279.551173, 62273.788543, 38667.49};{91695.008853, 61906.403732, 38667.49};c320bbb3-3b50-49f9-8053-ccdfc5f9fa3c;812d8454-acb5-4e23-b54b-fa4844ec758a;UPB265(265X1200);4861*250
HCS - Wall;{92021.167592, 61857.264238, 38667.49};{91576.262018, 61577.64185, 38667.49};c320bbb3-3b50-49f9-8053-ccdfc5f9fa3c;d662b2d0-a03b-4f7e-aac3-9580c8b4d153;UPB265(265X1200);3729.99*250
Full width support 1;{93603.103463, 57510.06217, 38667.49};{94619.073109, 58148.658819, 38667.49};9b3d585a-95d4-49e9-b22e-1978c48e26b0;a31d9910-51e7-4ed8-8dfe-7a415d37ba18;UPB265(265X1200);650*640
HCS - Wall;{92439.200269, 59361.763581, 38534.99};{93244.273018, 59867.799132, 38534.99};9b3d585a-95d4-49e9-b22e-1978c48e26b0;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;UPB265(265X1200);3729.99*300
Side;{93496.319079, 57679.955504, 38667.49};{92417.910798, 59395.628247, 38667.49};6f470f56-4a30-497c-9ecf-0f902e44f1a1;9b3d585a-95d4-49e9-b22e-1978c48e26b0;UPB265(265X1200);UPB265(265X1200)
Beam at side of HCS 2;{93487.631679, 57656.188569, 38534.99};{93487.631679, 57656.188569, 38799.99};9b3d585a-95d4-49e9-b22e-1978c48e26b0;8e2841d2-8be3-41e0-94bd-dbfc6847ff88;UPB265(265X1200);650*640
HCS - Wall;{90429.414032, 58358.311583, 38534.99};{89413.417682, 57719.757421, 38534.99};089b203b-1567-45bc-81ea-4d0e63ce62cf;f72fbe07-4790-449a-acac-d6771dcbfba3;UPB265(265X1200);3729.99*300
HCS - Wall;{89348.967375, 60077.398116, 38667.49};{88332.971025, 59438.843955, 38667.49};089b203b-1567-45bc-81ea-4d0e63ce62cf;1aa8303d-078a-4220-85ce-771f22a93a31;UPB265(265X1200);3729.99*250
Side;{88311.685423, 59472.711329, 38667.49};{89434.716786, 57685.868749, 38667.49};089b203b-1567-45bc-81ea-4d0e63ce62cf;70e973b6-c2f3-4a43-af2c-8bd8adb61af8;UPB265(265X1200);UPB265(265X1200)
HCS - Wall;{91423.232431, 58723.164432, 38534.99};{92439.200182, 59361.764095, 38534.99};6f470f56-4a30-497c-9ecf-0f902e44f1a1;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;UPB265(265X1200);3729.99*300
HCS - Wall;{91059.939437, 58494.814327, 38534.99};{91423.231699, 58723.165632, 38534.99};f97927c4-dea4-4e2d-b50f-859b69704d08;ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;UPB265(265X1200);3729.99*300
Normal;{90992.934961, 58582.623123, 35070};{90992.934961, 58582.623123, 38534.99};ea6bfe83-c8a7-46c2-8e91-f970e30c65bd;f72fbe07-4790-449a-acac-d6771dcbfba3;3729.99*300;3729.99*300
Normal;{87287.371675, 58882.081645, 35070};{87287.371675, 58882.081645, 38534.99};1aa8303d-078a-4220-85ce-771f22a93a31;2c2454d9-72fc-4d1f-9fd3-ec1f9f6bc861;3729.99*250;3729.99*250
Normal;{89539.495617, 60297.537669, 35070};{89539.495617, 60297.537669, 38799.99};1aa8303d-078a-4220-85ce-771f22a93a31;84366252-3be3-4508-b04d-80c28a8b6554;3729.99*250;3729.99*250
HCS - Wall;{88332.970162, 59438.845658, 38667.49};{87341.068618, 58815.437243, 38667.49};70e973b6-c2f3-4a43-af2c-8bd8adb61af8;1aa8303d-078a-4220-85ce-771f22a93a31;UPB265(265X1200);3729.99*250
Unclassified;{83111.188458, 59965.773546, 38359.989999};{82845.150812, 60389.122068, 38359.989999};6a519226-846a-4ebd-8499-d58c6a8ded47;d99af54f-c97c-4363-a38a-96d7768cd51e;480*640;BL500*500
Full width support 1;{77311.556358, 60617.755162, 38667.49};{77550.367856, 59441.758109, 38667.49};4d3b9862-c0c4-4e8a-afa1-d1d92c0514c2;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Concrete beam 1;{82015.639615, 61573.020456, 38667.49};{82254.451114, 60397.023404, 38667.49};4d3b9862-c0c4-4e8a-afa1-d1d92c0514c2;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Side;{77342.290218, 59399.505281, 38667.49};{82522.510278, 60451.460395, 38667.49};4d3b9862-c0c4-4e8a-afa1-d1d92c0514c2;6dddc7ac-821e-420a-b648-00529ffbd700;UPB265(265X1200);UPB265(265X1200)
Side;{77432.006159, 60642.215085, 38667.49};{81840.112933, 61537.375988, 38667.49};423393db-9ac8-4e0c-81c3-cf8cba91ac01;4d3b9862-c0c4-4e8a-afa1-d1d92c0514c2;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{77221.841036, 59375.047296, 38667.49};{77460.652534, 58199.050243, 38667.49};6dddc7ac-821e-420a-b648-00529ffbd700;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Concrete beam 1;{82698.035294, 60487.106338, 38667.49};{82936.846792, 59311.109285, 38667.49};6dddc7ac-821e-420a-b648-00529ffbd700;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Side;{77252.57525, 58156.795674, 38667.49};{83204.90631, 59365.544536, 38667.49};6dddc7ac-821e-420a-b648-00529ffbd700;9aaf1390-0d35-4520-8b6f-9e7e6ae7228b;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{77132.125448, 58132.335751, 38667.49};{77370.936947, 56956.338698, 38667.49};9aaf1390-0d35-4520-8b6f-9e7e6ae7228b;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Concrete beam 1;{83380.432993, 59401.189005, 38667.49};{83619.244491, 58225.191952, 38667.49};9aaf1390-0d35-4520-8b6f-9e7e6ae7228b;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Side;{77162.859662, 56914.084129, 38667.49};{83887.304009, 58279.627203, 38667.49};9aaf1390-0d35-4520-8b6f-9e7e6ae7228b;c416e184-f516-4dbb-a1be-9f143942e487;UPB265(265X1200);UPB265(265X1200)
Unclassified;{86659.37673, 58546.429113, 38452.489999};{86134.423105, 58216.544752, 38452.489999};2c2454d9-72fc-4d1f-9fd3-ec1f9f6bc861;50ed71e9-2ac6-42f2-b1d5-e4bb2126eb37;3729.99*250;480*620
Unclassified;{81524.920796, 66717.023337, 38452.489999};{80999.967171, 66387.138976, 38452.489999};1d241c44-eec2-4ca5-87fe-d63a1ca2c465;50ed71e9-2ac6-42f2-b1d5-e4bb2126eb37;3729.99*300;480*620
Beam at side of HCS 2;{81204.985322, 66782.690109, 38667.49};{81146.394626, 65971.266409, 38667.49};1db648d4-8f64-4062-b450-7c250f3a659b;50ed71e9-2ac6-42f2-b1d5-e4bb2126eb37;UPB265(265X1200);480*620
Beam at side of HCS 2;{86646.492039, 58437.942613, 38534.99};{86646.492039, 58437.942613, 38799.99};a8443c02-1ba0-42ca-ac4a-ebbb44040355;50ed71e9-2ac6-42f2-b1d5-e4bb2126eb37;UPB265(265X1200);480*620
Full width support 1;{81192.404772, 54558.988178, 38599.99};{80016.433561, 54320.049462, 38599.99};e75508ab-bbcd-4704-aba3-c94dd88be2f4;3dc432d6-5a7d-4861-bb62-b97a47e43aa9;UPB400(400X1200);750*720
Side;{81182.460378, 54607.930941, 38599.99};{83145.849853, 44944.827647, 38599.99};76f61c01-91c6-4409-aa5a-0aa775620bd8;e75508ab-bbcd-4704-aba3-c94dd88be2f4;UPB400(400X1200);UPB400(400X1200)
Full width support 1;{82368.399141, 54797.81292, 38599.99};{81192.42793, 54558.874203, 38599.99};76f61c01-91c6-4409-aa5a-0aa775620bd8;3dc432d6-5a7d-4861-bb62-b97a47e43aa9;UPB400(400X1200);750*720
Full width support 1;{76952.694273, 55646.912661, 38667.49};{77191.505772, 54470.915609, 38667.49};ef347d4f-20a4-4bc0-81e4-6c5a534f9a96;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Not connection 2;{84468.483171, 57193.563483, 38534.99};{84468.483171, 57193.563483, 38799.99};ef347d4f-20a4-4bc0-81e4-6c5a534f9a96;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Side;{77073.144075, 55671.372585, 38667.49};{84569.701708, 57193.70987, 38667.49};c416e184-f516-4dbb-a1be-9f143942e487;ef347d4f-20a4-4bc0-81e4-6c5a534f9a96;UPB265(265X1200);UPB265(265X1200)
Not connection 2;{77899.601068, 54594.334326, 38667.49};{83481.02478, 55727.762472, 38667.49};ef347d4f-20a4-4bc0-81e4-6c5a534f9a96;3dc432d6-5a7d-4861-bb62-b97a47e43aa9;UPB265(265X1200);750*720
HCS - Wall;{86092.651236, 56298.190373, 38667.49};{85386.374088, 57422.095752, 38667.49};ef347d4f-20a4-4bc0-81e4-6c5a534f9a96;9e78c3e7-06ac-4ed6-ba1f-49152e708e6b;UPB265(265X1200);3729.99*300
Not connection 2;{83302.639787, 55701.748429, 38667.49};{86032.278244, 56256.060235, 38667.49};ef347d4f-20a4-4bc0-81e4-6c5a534f9a96;f7e46018-efcf-4402-a91d-b4396eb1f109;UPB265(265X1200);650*640
Unclassified;{81506.088986, 62520.000605, 38359.989999};{81240.05134, 62943.349126, 38359.989999};6a519226-846a-4ebd-8499-d58c6a8ded47;905d8aab-0eff-4de9-a0da-8d698e181e98;480*640;BL500*500
Concrete beam 2;{84062.830691, 58315.271672, 38667.49};{84295.679379, 57168.637729, 38667.49};c416e184-f516-4dbb-a1be-9f143942e487;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Unclassified;{84975.668058, 57553.190734, 38369.989997};{84975.668058, 57553.190734, 38534.99};2c2454d9-72fc-4d1f-9fd3-ec1f9f6bc861;6a519226-846a-4ebd-8499-d58c6a8ded47;3729.99*250;480*640
Unclassified;{84447.710613, 57369.047244, 38359.989999};{84871.059134, 57635.08489, 38359.989999};6a519226-846a-4ebd-8499-d58c6a8ded47;979ba37c-df51-4b14-97ce-5a5edbd0464e;480*640;BL500*500
Unclassified;{79767.058809, 65287.348204, 38359.989999};{79501.021162, 65710.696726, 38359.989999};1eda423e-0a6f-4b4b-a785-cd355647625f;6a519226-846a-4ebd-8499-d58c6a8ded47;BL500*500;480*640
Unclassified;{79483.839087, 65095.739885, 38609.989999};{79249.132605, 65691.149716, 38609.989999};6a519226-846a-4ebd-8499-d58c6a8ded47;79f4c10d-29ad-44a0-97cf-a05879ec934b;480*640;480*640
Concrete beam 1;{80137.999601, 64560.958196, 38667.49};{80376.8111, 63384.961143, 38667.49};c81a6c19-f2bb-465e-afe5-b821602108ac;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Concrete beam 1;{80820.3973, 63475.040863, 38667.49};{81059.208798, 62299.04381, 38667.49};4e42b04d-bcd3-4c7a-be4d-dda576ad0060;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Concrete beam 1;{81463.040291, 62340.234056, 38667.49};{81634.55471, 61495.632969, 38667.49};423393db-9ac8-4e0c-81c3-cf8cba91ac01;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Unclassified;{79910.439502, 65613.672734, 38452.489999};{79750.785207, 65867.661919, 38452.489999};1d241c44-eec2-4ca5-87fe-d63a1ca2c465;6a519226-846a-4ebd-8499-d58c6a8ded47;3729.99*300;480*640
Concrete beam 2;{79428.898967, 65825.471088, 38667.49};{79814.647798, 65211.618868, 38667.49};709ec1a7-5558-4795-8480-c2a3adf15a50;6a519226-846a-4ebd-8499-d58c6a8ded47;UPB265(265X1200);480*640
Full width support 1;{77042.409861, 56889.624206, 38667.49};{77281.221359, 55713.627153, 38667.49};c416e184-f516-4dbb-a1be-9f143942e487;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Unclassified;{76398.280842, 54191.720959, 38559.990001};{77083.137553, 54330.803876, 38559.990001};3dc432d6-5a7d-4861-bb62-b97a47e43aa9;4a06d5a2-0897-4bad-a841-e4651f638c06;750*720;580*740
Unclassified;{74021.12614, 53571.766136, 38199.995736};{74021.12614, 53571.766136, 38849.999999};3dc432d6-5a7d-4861-bb62-b97a47e43aa9;457dceb7-5020-4b6c-b5ad-adb54c413e12;750*720;650*520
Unclassified;{83458.495258, 55386.486679, 38199.989999};{83458.495258, 55386.486679, 38849.99};3dc432d6-5a7d-4861-bb62-b97a47e43aa9;f7e46018-efcf-4402-a91d-b4396eb1f109;750*720;650*640
Full width support 1;{76186.987939, 53542.470526, 38599.99};{75011.016169, 53303.534556, 38599.99};75ee7914-9a34-4d84-9d35-7b257d6cdf5e;3dc432d6-5a7d-4861-bb62-b97a47e43aa9;UPB400(400X1200);750*720
Beam at side of HCS 2;{74031.926736, 53104.815643, 38599.99};{75010.999736, 53303.648956, 38599.99};31fa5520-2cb2-4131-b3e3-fb32a2758fa4;3dc432d6-5a7d-4861-bb62-b97a47e43aa9;UPB400(400X1200);750*720
Beam at side of HCS 2;{83571.427847, 55093.080991, 38399.99};{83571.427847, 55093.080991, 38799.99};fdf88aee-b2d2-419c-a2e0-78867fdd946d;3dc432d6-5a7d-4861-bb62-b97a47e43aa9;UPB400(400X1200);750*720
Unclassified;{74395.119828, 53494.936399, 43100.23};{74395.119828, 53494.936399, 44300.230004};6015a916-4283-4f7a-a170-171cf614f47a;7dbc1e73-31f7-46fc-a07e-add471f74640;BL1200*820;1200*820
Unclassified;{78537.55519, 63371.33613, 46179.999999};{78537.55519, 63371.33613, 46470.000218};d79fc582-6970-43a6-b264-a2dcbae2f03c;ec51dfa5-2a9f-4bef-b58c-97eb21415cfa;650*600;300*200
Side;{73465.527193, 59541.571742, 38667.49};{76753.899275, 59304.171471, 38667.49};b9dfa5e4-a108-43d1-84a1-8204629ac716;eb9ef3a1-0d89-4090-a0fb-56ba3251476a;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{76800.410053, 60503.936786, 38667.49};{76714.002306, 59307.051787, 38667.49};eb9ef3a1-0d89-4090-a0fb-56ba3251476a;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Side;{73551.934797, 60738.456752, 38667.49};{76840.30649, 60501.056508, 38667.49};d1f6040d-6f04-4bf4-92e7-a1b7669f5e59;eb9ef3a1-0d89-4090-a0fb-56ba3251476a;UPB265(265X1200);UPB265(265X1200)
Full width support 1;{76714.002838, 59307.051749, 38667.49};{76627.59509, 58110.166749, 38667.49};b9dfa5e4-a108-43d1-84a1-8204629ac716;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{76478.378281, 56043.255966, 38667.49};{76391.970534, 54846.370966, 38667.49};28690f1f-b031-448b-b1bf-c5a8e0980e57;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{76541.188325, 56913.281679, 38667.49};{76481.258072, 56083.152163, 38667.49};e5f2772c-eadd-46fb-bbb3-5aefb6538aff;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{76627.595622, 58110.166711, 38667.49};{76541.187875, 56913.281712, 38667.49};ac5a388b-ae03-4a19-acca-017a31cb10b3;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{77059.6317, 64094.591899, 38667.49};{76973.223953, 62897.7069, 38667.49};461d5ca4-557c-4ff0-8535-736b089086a7;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{76973.224484, 62897.706861, 38667.49};{76886.816737, 61700.821862, 38667.49};cd58f2c1-2710-44da-bbb7-17fd8d0ef894;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{76886.817269, 61700.821824, 38667.49};{76800.409522, 60503.936825, 38667.49};d1f6040d-6f04-4bf4-92e7-a1b7669f5e59;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
Full width support 1;{77553.15505, 64036.049907, 38667.49};{77791.966548, 62860.052854, 38667.49};c81a6c19-f2bb-465e-afe5-b821602108ac;4a06d5a2-0897-4bad-a841-e4651f638c06;UPB265(265X1200);580*740
